0,CoD Hex,CoD Binary,CoD Bits,Bluetooth Device Example,Confirmed
24,0x5a020c,010110100000001000001100,"22,20,19,17 | 9 | 3Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2,3: Smart phone",Smart phoneNokia 5230 Unknown Nokia X7-00 Samsung Galaxy Epic 4G Touch Epic 4G Touch Samsung Behold II SGH-T939 DROID X2 Nokia N8-00 Treo Nokia C5-00 Nokia E5-00.2 Nokia E73 Samsung Nexus S 4G Samsung Transform Ultra SPH-M930 Nokia 6650d-1bH Pocket_PC LG Ally VS740 Nokia N79 Samsung Jack SGH-i637 Motorola W766 – Harmony Samsung Conquer 4G SPH-D600 HTC Wildfire S A510e Nokia E71x Nokia C7-00 Nokia E73 Cricket ZTE Engage v8000 (V8000_USA_Cricket) Samsung Galaxy S III SPH-L710 Motorola Droid Razr M XT907 2XXPlantronics,"A0:4E:04 – Nokia Corporation 00:0F:E4 – Pantech Co.,Ltd AC:81:F3 – Nokia Corporation 18:E2:C2 – Samsung Electronics 94:63:D1 – Samsung Electronics Co.,Ltd 50:01:BB – Samsung Electronics 44:4E:1A – Samsung Electronics Co.,Ltd 3C:43:8E – Motorola Mobility, Inc. A0:71:A9 – Nokia Corporation 00:07:E0 – Palm Inc. AC:81:F3 – Nokia Corporation D4:C1:FC – Nokia Corporation 20:D6:07 – Nokia Corporation 20:13:E0 – Samsung Electronics Co.,Ltd FC:C7:34 – Samsung Electronics Co.,Ltd 00:25:D0 – Nokia Danmark A/S 40:83:DE – Motorola 8C:54:1D – Lge 00:24:7D – Nokia Danmark A/S 00:26:5F – Samsung Electronics Co.,Ltd B0:79:94 – Motorola Mobility LLC 18:E2:C2 – Samsung Electronics A8:26:D9 – HTC Corporation 00:25:48 – Nokia Danmark A/S 78:CA:04 – Nokia Corporation 20:D6:07 – Nokia Corporation FC:C8:97 – ZTE Corporation B8:C6:8E: – Samsung Electronics Co.,Ltd B0:79:94 – Motorola Mobility LLC F0:08:F1 – Samsung Electronics Co.,Ltd"
25,0x5a2204,010110100010001000000100,"22,20,19,17,13 | 9 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularSamsung SPH-M800 Samsung GT-B5310 Samsung S3650 Samsung Trender Samsung Trender Samsung Seek SPH-M350 Samsung SPH-M5 Samsung Restore Samsung Exclaim SPH-M550A Samsung Restore SPH-M575 Samsung Instinct S30 SPH-M810,"00:1F:CD – Samsung Electronics 44:4E:1A – Samsung Electronics Co.,Ltd D4:88:90 – Samsung Electronics Co.,Ltd CC:05:1B – Samsung Electronics Co.,Ltd 20:13:E0 – Samsung Electronics Co.,Ltd 10:1D:C0 – Samsung Electronics Co.,Ltd 00:23:D6 – Samsung Electronics Co.,LTD 68:EB:AE – Samsung Electronics Co.,Ltd 00:25:66 – Samsung Electronics Co.,Ltd 04:FE:31 – Samsung Electronics Co.,Ltd 44:4E:1A – Samsung Electronics Co.,Ltd"
26,0x5e0204,010111100000001000000100,"22,20,19,18,17 | 9 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularUnknown,"00:21:D1 – Samsung Electronics Co.,Ltd"
27,0x62020c,011000100000001000001100,"22,21,17 | 9 | 3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2,3: Smart phone",Smart phoneBlackberry 7130e,00:0F:86 – Research In Motion Limited
28,0x70020c,011100000000001000001100,"22,21,20 | 9 | 3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2,3: Smart Phone",Smart PhoneUnknown,40:6A:AB – Rim
29,0x720204,011100100000001000000100,"22,21,20,17 | 9 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularSamsung SPH-M320 Samsung SPH-M320A Samsung SPH-M300,"00:23:D7 – Samsung Electronics 00:25:67 – Samsung Electronics 00:1D:F6 – Samsung Electronics Co.,Ltd"
30,0x72020c,011100100000001000001100,"22,21,20,17 | 9 | 3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2,3: Smart phone",Smart phoneBlackBerry 8800 Motorola Q BlackBerry 8100,"00:0F:86 – Research In Motion Limited 00:1A:1B – Motorola Mobility, Inc. 00:1C:CC – Research In Motion Limited"
31,0x78020c,011110000000001000001100,"22,21,20,19 | 9 | 3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2,3: Smart phone",Smart phoneSidekick LX 2009 BlackBerry 9300 BlackBerry 9360,00:22:F3 – SHARP CORPORATION 70:AA:B2 – Research In Motion 34:BB:1F – Research In Motion
32,0x7a020c,011110100000001000001100,"22,21,20,19,17 | 9 | 3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2,3: Smart phone",Smart phoneiPhone 4S BlackBerry 9810 BlackBerry 9800 BlackBerry 9450 BlackBerry 9450 BlackBerry 9900 BlackBerry 8330m BlackBerry 9330 BlackBerry 9700 BlackBerry 9350 BlackBerry 9930 BlackBerry 9650 BlackBerry 9780 BlackBerry 8530 BlackBerry 8530 BlackBerry 9000 BlackBerry 9310 BlackBerry 9850 BlackBerry 9790 BlackBerry 0000 BlackBerry 8520 BlackBerry 9670 BlackBerry curve iPhone 3g jawbone BlackBerry Torch BlackBerry 9370 BlackBerry 9670 BlackBerry Torch 2 (torch2) Samsung HM1100 Bluetooth Headset LTphone BlackBerry 8120 BlackBerry 9530a BlackBerry 8900 BlackBerry 9630 BlackBerry 9550 mh BlackBerry Motorola Q9m Market Samsung Wave newSmartPhone,"78:A3:E4 – Apple, Inc. A0:6C:EC – Rim 14:74:11 – Rim CC:55:AD – Rim 40:5F:BE – Rim 1C:69:A5 – Research In Motion 00:26:FF Research In Motion 14:74:11 – Rim 30:7C:30 – Rim 40:6A:AB – Rim 80:60:07 – Rim A0:6C:EC – Rim 3C:74:37 – Rim CC:55:AD – Rim 30:69:4B – Rim 00:24:9F RIM Testing Services 1C:69:A5 – Research In Motion 40:6A:AB – Rim 70:AA:B2 – Research In Motion 40:6A:AB – Rim 2C:A8:35 – Rim 3C:74:37 – Rim E8:3E:B6 – Rim 24:AB:81 – Apple, Inc. 40:6A:AB – Rim 3C:74:37 – Rim 40:6A:AB – Rim 3C:74:37 – Rim 70:D4:F2 – Rim 00:1C:C1 – Motorola Mobility, Inc. AC:3C:0B – Apple 00:1C:CC – Research In Motion Limited 00:24:9F – BlackBerry 9530a 00:26:FF – Research In Motion 30:69:4B – RIM F4:0B:93 – Research In Motion 68:ED:43 – Research In Motion 00:1C:C1 – Motorola Mobility, Inc. Motorola Mobility, Inc."
1,0x020300,000000100000001100000000,"17 | 9,8 | noneMajor Service Class CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8,9: LAN /Network Access point Minor Device Class CoD Bits 7,6,5 Not Set: Fully available CoD Bits 4,3,2 Not Set: Uncategorized","Fully availableJCMED4 (Possible Jefferson County, KY Ambulance)",00:21:3E – Tomtom
2,0x120300,000100100000001100000000,"20,17 | 9,8 | noneMajor Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8,9: LAN /Network Access point Minor Device Class none",noneUnknown,"00:01:95 – Sena Technologies, Inc."
3,0x41031c,010000010000001100011100,"22,16 | 9,8 | 4,3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 16: Positioning (Location identification) Major Device Class CoD Bits 9,8: LAN /Network Access point Minor Device Class CoD Bits 7,6,5 Not Set: Fully available CoD Bits 4,3,2: All other values reserved",Fully availableNonin 4100 Pulse Oximeter,"00:A0:96 – MITUMI ELECTRIC CO., LTD."
1,0x000408,000000000000010000001000,"none | 10 | 3Major Service Class None Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceBluetooth Car Kit Unknown,"00:1C:12 – Motorola Mobility, Inc. 00:1E:B2 – LG innotek"
2,0x00041c,000000000000010000011100,"none | 10 | 4,3,2Major Service Class none Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2,3,4: Portable Audio",Portable AudioiPad 3,"4C:B1:99 – Apple, Inc."
3,0x000424,000000000000010000100100,"none | 10 | 5,2Major Service Class none Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2,5: Set-top box",Set-top BoxRoku Roku Player,"CC:6D:A0 – Roku, Inc. 00:0D:4B – Roku, LLC"
4,0x00043c,000000000000010000111100,"none | 10 | 5,4,3,2Major Service Class none Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 5,4,3,2: Video Display and Loudspeaker",Video DisplaySamsung 32″ LE32D550 DTVBluetooth DTVBluetooth,"60:6B:BD – Samsung Electronics Co., LTD 60:6B:BD – Samsung Electronics Co., LTD E4:E0:C5 – Samsung Electronics Co., LTD"
5,0x08043c,000010000000010000111100,"19 | 10 | 5,4,3,2Major Service Class CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 5,4,3,2: Video Display and Loudspeaker",Video DisplaySamsung UE32D5520 32″ LCD TV Samsung 37-inch 3D Smart LED TV UE37ES6300 TVBluetooth,"E4:E0:C5 – Samsung Electronics Co., LTD 1C:5A:3E – Samsung Eletronics Co., Ltd (Visual Display Divison) C4:73:1E – Samsung Eletronics Co., Ltd"
6,0x0a041c,000010100000010000011100,"19,17 | 10 | 4,3,2Major Service Class CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2,3,4: Portable Audio",Portable AudioiPod iPad,"00:26:4A – Apple, Inc. 90:84:0D – Apple, Inc"
7,0x200404,001000000000010000000100,"21 | 10 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DevicePLT 510 Headset BLU Logic Motorola H350 Advent 80131 Motorola TX500 Plantronics M20 Bluetooth Headset Parrot v5.10Ci Parrot v5.11C Parrot v5.10C LG HBM-210 Bluetooth Headset Magellan Car Kit,"00:19:7F – PLT 510 Headset – PLANTRONICS, INC.g 00:0D:18 – Mega-Trend Electronics CO., LTD. 00:1A:0E – Cheng Uei Precision Industry Co.,Ltd 00:02:78 – Samsung Electro-Mechanics Co., Ltd. 00:0D:FD – Huges Hi-Tech Inc., 00:23:7F – PLANTRONICS 00:12:1C – PARROT S.A. 00:12:1C – PARROT S.A. 00:12:1C – PARROT S.A. 00:18:6B – Sambu Communics CO., LTD. 00:22:4D – MITAC INTERNATIONAL CORP."
8,0x200408,001000000000010000001000,"21 | 10 | 3Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceAudi UHV General Motors Garmin GPS 10 nuvi 350 BMW26262 Garmin Dezl GPS BMW BMW nuvi 2×5 Nokia CK-7W EGO FLASH Land Rover Bluetooth Magellan RoadMate Raytel TellPhone 5000 TomTom GO 710 TomTom DUO Suzuki TRIP Parrot v5.25C Car Kit Land Rover Aud NAVIGON GPS TomTom Toyota MOTONAV TN700 Garmin Dezl 760LMT 7-Inch CSR BC5 Bluetooth Module (CSR – bc5) Parrot v5.24C Garmin nuLink! Nokia CK-7W Garmin GPS,"00:0E:9F – TEMIC SDS GmbH 00:1E:B2 – LG innotek 00:05:4F – Private 10:C6:FC – Garmin International 00:14:9A – Motorola Mobility, Inc 00:05:4F – Private 00:15:A8 – Motorola Mobility, Inc. 00:E0:0C – Motorola 00:05:4F – Private 00:08:3B – Unknown 00:0D:62 – Funkwerk Dabendorf GmbH 00:10:43 – A2 CORPORATION 00:22:4D – MITAC INTERNATIONAL CORP. 00:13:E0 – Murata Manufacturing Co., Ltd. 00:13:6C – Tomtom 00:13:6C – Tomtom 00:05:4F – Private 00:12:1C – PARROT S.A. 00:08:30 – CISCO SYSTEMS, INC. 00:16:D3 – Wistron Corporation 00:21:3E – Tomtom 00:24:A0 – Motorola Mobility, Inc. 10:C6:FC – Garmin International 00:05:4F – Private 00:12:1C – PARROT S.A. 00:05:4F – Private 00:10:1E – MATSUSHITA ELECTRONIC INSTRUMENTS CORP. 10:C6:FC – Garmin International"
9,0x240400,001001000000010000000000,"21,18 | 10 | noneMajor Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class none",noneGDI-IRP600 WiFi Internet Radio,"00:1D:DF – Sunitec Enterprise Co., Ltd."
10,0x240404,001001000000010000000100,"21,18 | 10 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceVoyager Pro+ Headset Jaybird SB2 Headphones Unknown Hands Free Device Logitech Mobile Pro Headset JVC Unit Alpine KCE-305SBT Cobra iRadar iRAD-100 Radar Detector Inteq LCD Touchscreen Tunelink Auto Bluetooth FM Transmitter Looxcie KENWOOD BT MM-6U2 BluBridge mini-jack Rx KENWOOD BT MM-5U2 BLU Logic 1111 Motorola Roadster BlackBerry Stereo Gateway JABRA WAVE+ Motorola Roadster 2 MONOPRICE UNB-2000S Stereo Headset Iphone Bluetooth Hands Free Car Kit2 Motorola Elite Sliver Plantronics – M25 Headset (PLT_M25-M29) Plantronics PLT_M50 Bluetooth Headset Samsung HM6000 Bluetooth Headset SmartCord Live Naxa Bluetooth AM/FM/CD/MP3/USB/SAUX Player Car JVC KW-AVX820 Bluetooth(R)/DVD/CD/USB Receiver,"00:23:7F – PLANTRONICS 00:18:91 – Zhongshan General K-mate Electronics Co., Ltd 00:08:E0 – ATO Technology Ltd. 00:10:60 – BILLIONTON SYSTEMS, INC. 00:10:60 BILLIONTON SYSTEMS, INC. 00:19:95 – Jurong Hi-Tech (Suzhou)Co.ltd B8:92:1D – BG T&A 00:0D:18 – Mega-Trend Electronics CO., LTD. C8:3E:99 – Texas Instruments 10:2D:96 – Looxcie Inc. 00:10:60 BILLIONTON SYSTEMS, INC. 00:1A:7D – cyber-blue(HK)Ltd 00:10:60 – BILLIONTON SYSTEMS, INC. 00:0D:18 – Mega-Trend Electronics CO., LTD. 00:24:1C – FuGang Electronic (DG) Co.,Ltd 00:1A:0E – Cheng Uei Precision Industry Co.,Ltd 50:C9:71 – GN Netcom A/S 00:24:1C – FuGang Electronic (DG) Co.,Ltd 00:53:0C – Unknown 00:0D:18 – Mega-Trend Electronics CO., LTD. 00:24:1C – FuGang Electronic (DG) Co.,Ltd 48:C1:AC – PLANTRONICS, INC. 48:C1:AC – PLANTRONICS, INC. 38:0A:94 – Samsung Electronics Co.,Ltd D8:76:0A – Escort, Inc. 00:13:04 – Flaircomm Technologies Co. LTD 00:1D:BA – Sony Corporation"
11,0x240408,001001000000010000001000,"21,18 | 10 | 3Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bit 3: Hands-free Device",Hands-free DeviceDension GWF Unknown Ford Audio VW UHV Parrot Zik Headphones Clarion NX500 CARBT-1234 Chevy Equinox Dual XML8150 Media Receiver Unknown Bluetooth Headset (BtCarKit) BlueStream By iSimple Solutions (PhoneKit) Wise & Blue CO LTD Bluetooth Car Kit (CarKit) Clarion NZ500 Clarion VX401 GMC Terrain,"01:36:05 – Unknown 00:26:72 – AAMP of America 00:23:3D – Novero holding B.V. 00:23:3D – Novero holding B.V. 90:03:B7 – Parrot 00:17:53 – nFore Technology Inc. DC:DE:CA – Akyllor E0:EE:1B – Panasonic Automotive Systems Company of America 00:00:00 – Officially Xerox, but 0:0:0:0:0:0 is more common 00:1D:86 – Shinwa Industries(China) Ltd. 00:26:72 – AAMP of America 00:1C:F5 – Wiseblue Technology Limited 00:17:53 – nFore Technology Inc. 00:17:53 – nFore Technology Inc. E0:EE:1B – Panasonic Automotive Systems Company of America"
12,0x240414,110100100000000100010000,"21,18 | 10 | 4,2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2,4: Loudspeaker",LoudspeakerHDMX JAM EWA Speaker V2 Mini Speaker BoomBot2 Bluetooth Portable Speaker,46:8F:E8 – Unknown 00:1F:81 – Accel Semiconductor Corp 00:18:E4 – YIGUANG
13,0x280408,001010000000010000001000,"21,19 | 10 | 3Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceTomTom GO 930 nuvi 765 Suzuki Trip TomTom GO 630 nuvi 775 MOTOACTV Suzuki Trip TomTom GO 730 nuvi 765T TomTom GO 720 Garmin zumo 665 TomTom GO 920 TomTom GO 730,00:13:6C – TomTom 00:05:4F – Private 00:05:4F – Private 00:21:3E – Tomtom 00:05:4F – Private 00:18:30 – Texas Instruments 00:05:4F – Private 00:21:3E – Tomtom 00:05:4F – Private 00:13:6C – TomTom 00:05:4F – Private 00:13:6C – TomTom 00:21:3E – TomTom
14,0x2c0404,001011000000010000000100,"21,19,18 | 10 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceKENWOOD BT CD/R-5T1,00:08:E0 – ATO Technology Ltd.
15,0x300408,001100000000010000001000,"21,20 | 10 | 3Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceStreetPilot c550 StreetPilot c5 BMW 99088 Audi MMI BMW VW DEH-7300BT Unknown Car Bluetooth System nuvi 7 Wedge Nuvi Parrot CK3100 Parrot 3200LS AVH-P3200BT Jaguar Pioneer DEH-P6200BT Panasonic GP50 Kenwood DDX616 Pioneer AppRadio SPH-DA01 Pioneer AVH-P5200BT ALPINE KCE-250BT Kenwood DNX6180 Bluetooth Microphone ALPINE CDE-103BT Kenwood DNX6980 PIONEER HDD NAVI Pioneer AVH-P6300BT KENWOOD BT USB/R-3P1 Pioneer AVH-P3300BT Kenwood DNX6160 StreetPilot 2820 ALPINE NAVIGATION RECEIVER Red Rocket Smart Drive Garmin Nuvi 780 Kenwood DNX6960 Sony Nav-U NV-U83T Portable car navigator Advent ADVUV630 Navigation Head Unit,"00:05:4F – Private 00:05:4F – Private 00:0E:9F – TEMIC SDS GmbH 00:0E:9F – TEMIC SDS GmbH 00:1A:DB – Motorola Mobility, Inc. 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:1E:AE – Continental Automotive Systems 00:05:4F – Private 00:05:4F – Private 00:12:1C PARROT S.A. 00:12:1C – PARROT S.A. 00:12:1C – PARROT S.A. 00:1E:AE – Continental Automotive Systems 00:26:7E – Parrot SA 00:80:45 – MATSUSHITA ELECTRIC IND. CO 00:26:7E – Parrot SA 00:17:53 – nFore Technology Inc. 00:12:1C – PARROT S.A. 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:12:1C – PARROT S.A. 00:26:7E – Parrot SA 00:16:FE – Alps Electric Co., Ltd 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:12:1C – PARROT S.A. 00:05:4F – Private E8:E1:FD – Unknown 00:05:4F – Private 00:13:1E – Peiker acustic GmbH & Co. KG 00:05:4F – Private 00:26:7E – Parrot SA 00:13:E0 – Murata Manufacturing Co., Ltd. 00:26:7E – Parrot SA"
16,0x340404,001101000000010000000100,"21,20,18 | 10 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceKenwood KCA-BT300 BT35 Motorola T325 – Bluetooth Portable Car Speaker,"00:26:7E – Parrot SA 00:1D:DF – Sunitec Enterprise Co., Ltd. 00:1F:82 – Cal-Comp Electronics & Communications Co., Ltd"
17,0x340408,001101000000010000001000,"21,20,18 | 10 | 3Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceKenwood BT Adapter KCA-BT200 Hyundai Sonata VW Jetta Sportwagon TDI 2010 VW Passat ALPINE KCE-400BT Parrot MKi9200 Unknown KENWOOD BT CD/R-3P1 KENWOOD BT CD/R-2P2 BLUEFUSION Pioneer BT unit2 Clarion NX501 Alpine CD Receiver Pioneer DEH-P8400BH PIONEER NAVI Pioneer DEH-65BT CD Receiver Pioneer DEH-X6500BT Pioneer DEH-64BT Kenwood DNX6140 Pioneer DEH-6400BT KENWOOD BT CD/R-6P1 Kenwood DNX7140 Pioneer AVH-X3500BHS Sony Automotive Sony Automotive AVH-P2400BT Pioneer DEH-80PRS Pioneer DEH-X65BT Kenwood DNX8120 Sorento Sony Xplod KIA MOTORS Pioneer FH-X700BT CD Receiver ALPINE NAVI Pioneer AVH-P3400BH Kenwood DNX9980HD Pioneer DEH-P9400BH Kenwood DNX9990HD Pioneer FH-X700BT Clarion VZ709 Kenwood DNX6990HD Kia Sportage Bluetooth Kenwood DDX814 2012 Fiat Blue&Me ALPINE iXA-W407 Digital Media Receiver Pioneer CD Receiver DEH-5400BT Clarion NX501 Kenwood DNX6190HD KGL Universal Bluetooth Car DVD (DULONG) Kenwood DNX7190HD Clarion MAX685BT Porsche Tooki Bluetooth Kenwood DNX9140 JVC CD/Bluetooth Receiver Model KD-BT1 Pioneer DEH-4500BT Kia Motors,"00:12:1C – PARROT S.A. 00:0B:24 – Airlogic 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:12:1C – PARROT S.A. 00:07:04 – ALPS Electric Co,. Ltd. 00:12:1C – PARROT S.A. 00:12:1C – PARROT S.A. 00:13:04 – Flaircomm Technologies Co. LTD 00:19:C1 – Alps Electric Co., Ltd 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:26:7E – Parrot SA 90:03:B7 – Parrot 90:03:B7 – Parrot 90:03:B7 – Parrot 00:26:7E – Parrot SA 00:12:1C – PARROT S.A. 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:12:1C – PARROT S.A. 90:03:B7 – Parrot 78:84:3C – Sony Corporation 54:42:49 – Sony Corporation 00:26:7E – Parrot SA 00:26:7E – Parrot SA 90:03:B7 – Parrot 00:12:1C – PARROT S.A. 00:1E:B2 – LG innotek 00:1A:80 – Sony Corporation 00:1E:B2 – LG innotek 90:03:B7 – Parrot 04:98:F3 – ALPS Electric Co,. Ltd. 00:26:7E – Parrot SA 00:26:7E – Parrot SA 90:03:B7 – Parrot 00:26:7E – Parrot S 00:26:7E – Parrot SA 90:03:B7 – Parrot 00:24:33 – Alps Electric Co., Ltd 00:26:7E – Parrot SA 00:1E:B2 – LG innotek 00:12:1C – PARROT S.A. 00:14:09 – MAGNETI MARELLI S.E. S.p.A. 00:12:1C – PARROT S.A. 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:13:04 – Flaircomm Technologies Co. LTD 90:03:B7 – PARROT 00:1E:3D – Alps Electric Co., Ltd 00:12:1C – PARROT S.A. 00:12:1C – PARROT S.A. 00:12:1C – PARROT S.A. 90:03:B7 – PARROT 00:1E:B2 – LG innotek"
